id,name,category,category_slug,brand,image_path,pack_size_1,mrp_1,pack_size_2,mrp_2,pack_size_3,mrp_3
p-01,Aashirvaad Superior MP Shudh Chakki Atta,Atta & Flours,grocery,Aashirvaad,/images/products/Atta.webp,10 kg Pack,550,5 kg Pack,285,1 kg Pack,62
p-02,India Gate Basmati Rice Feast Rozzana,Rice & Grains,grocery,India Gate,/images/products/basmati_rice.webp,5 kg Bag,495,1 kg Bag,110,,
p-03,Bullet GTS Super Fine Rice,Rice & Grains,grocery,Bullet GTS,/images/products/gts_rice.webp,25 kg Bag,1450,10 kg Bag,620,5 kg Bag,320
p-04,Fine Premium Besan Gram Flour,Atta & Flours,grocery,Premia,/images/products/besan_flour.webp,1 kg Pack,125,500 g Pack,65,,
p-05,Pure Refined Maida All Purpose Flour,Atta & Flours,grocery,Premia,/images/products/Maida.webp,1 kg Pack,58,500 g Pack,30,,
p-06,Roasted Sooji Rava Semolina,Atta & Flours,grocery,Premia,/images/products/Sooji.webp,1 kg Pack,65,500 g Pack,35,,
p-07,Premium Thick Poha Aval,Rice & Grains,grocery,Premia,/images/products/Poha.webp,1 kg Pack,70,500 g Pack,38,,
p-08,Bambino Roasted Vermicelli,Packaged Food,packaged-food,Bambino,/images/products/Vermicelli.webp,850 g Pack,95,400 g Pack,50,,
p-09,Unpolished Cleaned Toor Dal,Dals & Pulses,grocery,Premia,/images/products/toor_dal.webp,1 kg Pack,195,2 kg Pack,385,500 g Pack,100
p-10,Desi High Protein Chana Dal,Dals & Pulses,grocery,Premia,/images/products/channa_dal.webp,1 kg Pack,120,500 g Pack,62,,
p-11,Nutritious Red Masoor Dal Split,Dals & Pulses,grocery,Premia,/images/products/masoor_dal.webp,1 kg Pack,110,500 g Pack,58,,
p-12,Raw Bold Groundnut Peanuts (Moongfali),Dals & Pulses,grocery,Premia,/images/products/Peanuts.webp,1 kg Pack,180,500 g Pack,95,,
p-13,Dry Green Vatana Green Peas,Dals & Pulses,grocery,Premia,/images/products/green_peas.webp,1 kg Pack,130,500 g Pack,68,,
p-14,Fortune Sunlite Refined Sunflower Oil,Edible Oils,grocery,Fortune,/images/products/Fortune.webp,1 Litre Pouch,165,5 Litre Jar,799,15 Litre Tin,2350
p-15,Freedom Refined Sunflower Oil,Edible Oils,grocery,Freedom,/images/products/Freedom.webp,1 Litre Pouch,160,5 Litre Jar,780,,
p-16,Sunpure Pure Refined Sunflower Oil,Edible Oils,grocery,Sunpure,/images/products/Sunpure.webp,1 Litre Pouch,160,5 Litre Jar,780,,
